Source,Target,Weight,Type
2000,2003,2,undirected
2000,2014,2,undirected
2000,2015,3,undirected
2000,2021,1,undirected
2001,2002,2,undirected
2001,2004,2,undirected
2001,2021,3,undirected
2002,2001,2,undirected
2002,2008,1,undirected
2002,2015,2,undirected
2002,2019,1,undirected
2002,2021,4,undirected
2003,2000,2,undirected
2003,2013,1,undirected
2003,2014,3,undirected
2004,2001,2,undirected
2004,2005,2,undirected
2004,2008,2,undirected
2004,2019,2,undirected
2004,2021,3,undirected
2005,2004,2,undirected
2005,2016,1,undirected
2005,2021,3,undirected
2006,2007,2,undirected
2006,2015,3,undirected
2006,2021,1,undirected
2007,2006,2,undirected
2007,2014,2,undirected
2007,2015,3,undirected
2007,2019,1,undirected
2008,2002,1,undirected
2008,2004,2,undirected
2008,2015,3,undirected
2013,2003,1,undirected
2013,2014,2,undirected
2013,2017,2,undirected
2013,2021,3,undirected
2014,2000,2,undirected
2014,2003,3,undirected
2014,2007,2,undirected
2014,2013,2,undirected
2014,2015,6,undirected
2014,2016,2,undirected
2014,2021,5,undirected
2015,2000,3,undirected
2015,2002,2,undirected
2015,2006,3,undirected
2015,2007,3,undirected
2015,2008,3,undirected
2015,2014,6,undirected
2015,2016,4,undirected
2015,2018,1,undirected
2015,2021,3,undirected
2016,2005,1,undirected
2016,2014,2,undirected
2016,2015,4,undirected
2016,2017,2,undirected
2016,2018,6,undirected
2017,2013,2,undirected
2017,2016,2,undirected
2017,2019,3,undirected
2018,2015,1,undirected
2018,2016,6,undirected
2018,2019,4,undirected
2018,2020,2,undirected
2019,2002,1,undirected
2019,2004,2,undirected
2019,2007,1,undirected
2019,2017,3,undirected
2019,2018,4,undirected
2019,2020,6,undirected
2019,2021,1,undirected
2020,2018,2,undirected
2020,2019,6,undirected
2020,2021,1,undirected
2021,2000,1,undirected
2021,2001,3,undirected
2021,2002,4,undirected
2021,2004,3,undirected
2021,2005,3,undirected
2021,2006,1,undirected
2021,2013,3,undirected
2021,2014,5,undirected
2021,2015,3,undirected
2021,2019,1,undirected
2021,2020,1,undirected
