"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"maga" 0 0 0 0.663716814159292 6.12903225806452 12.1399176954733 9.52380952380952 6.59340659340659 9.45945945945946 5.40540540540541 17.3076923076923 29.5081967213115 26.3157894736842 30.3571428571429 21.0526315789474 51.8518518518519 15 12.8205128205128 29.9065420560748 24.2718446601942 27.2 50.8695652173913 18.1818181818182
"trump" 1.44927536231884 30.1136363636364 32.6171875 38.0530973451327 12.258064516129 0 0 0 0 0 0 0 0 0 0 1.85185185185185 6 3.84615384615385 0 0 0 0.434782608695652 0
"makeamericagreatagain" 55.0724637681159 24.4318181818182 22.8515625 20.7964601769912 12.258064516129 4.73251028806584 0 1.0989010989011 2.02702702702703 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 3.04347826086957 0
"americafirst" 0 0 0 0 14.5161290322581 7.81893004115226 4.76190476190476 4.3956043956044 4.05405405405405 1.35135135135135 0 0 0 0 0 0 1 0 0 0 0 0 0
"draintheswamp" 0 0 0 0 0 15.843621399177 0 2.1978021978022 0.675675675675676 0 0 3.27868852459016 0 0 0 0 0 0 0 0 0 0 0
"kag" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85185185185185 7 23.0769230769231 23.3644859813084 21.3592233009709 0 0 0
"votetrump" 0 0 3.125 9.73451327433628 0.32258064516129 0.823045267489712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"imwithyou" 0 0 0 0 11.6129032258065 4.32098765432099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bigleaguetruth" 0 0 0 0 0 9.46502057613169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"a" 0 0 0 0.442477876106195 0.645161290322581 0.205761316872428 0 0 0 0 0 0 0 0 0 0 0 0 17.7570093457944 6.79611650485437 5.6 3.04347826086957 0
"debate" 0 0 0 0 0 9.05349794238683 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"crookedhillary" 0 0 0 0 8.38709677419355 3.29218106995885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"trumppence" 0 0 0 0 7.74193548387097 1.85185185185185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.73913043478261 0
"icymi" 0 0.568181818181818 0.1953125 0.442477876106195 0.645161290322581 3.08641975308642 11.9047619047619 4.3956043956044 2.02702702702703 0 0 0 0 0.892857142857143 0 0 0 0 0 0 0 0 0
"gopdebate" 4.34782608695652 2.84090909090909 4.1015625 0.884955752212389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fitn" 1.44927536231884 0 5.859375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"usa" 0 0.568181818181818 0 0 0 0 0 5.49450549450549 6.08108108108108 8.78378378378378 1.92307692307692 0 0 0 0 0 1 0 0 0 0 0 9.09090909090909
"debates" 0 0 0 0 0 4.73251028806584 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"g" 0 0 0 0 0 0 0 4.3956043956044 2.7027027027027 0 0 0 3.50877192982456 0.892857142857143 2.63157894736842 0 10 0 0 0 0 0 0
"iacaucus" 0 0.568181818181818 3.90625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fakenews" 0 0 0 0 0 0 2.38095238095238 4.3956043956044 3.37837837837838 4.72972972972973 0 0 0 0 5.26315789473684 0 0 0 0 0 0 0 0
"lesm" 0 0.568181818181818 0.1953125 0 0.967741935483871 0.205761316872428 0 0 1.35135135135135 0.675675675675676 3.84615384615385 0 0 1.78571428571429 0 0 0 1.28205128205128 0.934579439252336 0 2.4 0.434782608695652 0
