"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"foxnews" 5.28541226215645 6.32411067193676 6.60194174757282 8.61423220973783 11.6666666666667 1.72413793103448 7.75862068965517 5.83333333333333 3.17460317460317 6.17977528089888 11.0236220472441 5.51181102362205 9.72972972972973 8.300395256917 10.958904109589 8.93719806763285 7.6036866359447 9.65391621129326 17.1084337349398 8 10.3313840155945 8.43373493975904 4.6242774566474
"foxandfriends" 1.47991543340381 1.38339920948617 2.13592233009709 4.49438202247191 1.11111111111111 5.17241379310345 2.58620689655172 8.33333333333333 10.3174603174603 7.30337078651685 15.748031496063 7.08661417322835 11.3513513513514 2.37154150197628 8.9041095890411 6.03864734299517 6.91244239631336 7.46812386156648 7.2289156626506 3.57894736842105 4.48343079922027 1.60642570281124 0.578034682080925
"cnn" 2.5369978858351 4.54545454545455 9.12621359223301 6.36704119850187 11.6666666666667 10.9195402298851 9.48275862068965 0.833333333333333 1.58730158730159 2.24719101123596 3.93700787401575 0.78740157480315 1.08108108108108 0.395256916996047 2.05479452054795 0.241545893719807 3.91705069124424 2.36794171220401 2.89156626506024 3.36842105263158 3.7037037037037 1.60642570281124 0.578034682080925
"nytimes" 0.422832980972516 1.97628458498024 0.970873786407767 9.36329588014981 5.55555555555556 10.3448275862069 11.2068965517241 4.16666666666667 3.17460317460317 3.93258426966292 1.5748031496063 3.1496062992126 1.62162162162162 0.395256916996047 0.684931506849315 1.44927536231884 2.76497695852535 1.09289617486339 1.68674698795181 4.63157894736842 1.75438596491228 1.20481927710843 0.578034682080925
"seanhannity" 1.47991543340381 2.56916996047431 1.55339805825243 3.37078651685393 4.44444444444444 0.574712643678161 0.862068965517241 0 1.58730158730159 2.80898876404494 0 1.5748031496063 1.62162162162162 0.395256916996047 6.16438356164384 4.34782608695652 2.76497695852535 2.18579234972678 1.68674698795181 1.26315789473684 2.53411306042885 2.00803212851406 1.73410404624277
"whitehouse" 0 0 0 0 0 0 5.17241379310345 15 4.76190476190476 4.49438202247191 7.8740157480315 15.748031496063 7.56756756756757 3.55731225296443 2.73972602739726 3.38164251207729 1.61290322580645 1.09289617486339 0.72289156626506 1.05263157894737 0.194931773879142 0.200803212851406 0
"breitbartnews" 3.17124735729387 0.395256916996047 0 0 0 0 0 0 0.793650793650794 0 0 0 0.540540540540541 1.97628458498024 0 1.44927536231884 0 0.182149362477231 0.240963855421687 0.631578947368421 1.364522417154 12.85140562249 6.35838150289017
"oann" 0 0.592885375494071 0.388349514563107 0 0 0 0.862068965517241 0 0 0 0 0 0 0 0 1.69082125603865 1.61290322580645 1.27504553734062 0.963855421686747 1.68421052631579 1.364522417154 5.82329317269076 8.09248554913295
"loudobbs" 0 0 0 0 0.555555555555556 0 0 0.833333333333333 0.793650793650794 1.68539325842697 0.78740157480315 2.36220472440945 2.16216216216216 1.97628458498024 3.42465753424658 2.17391304347826 1.61290322580645 2.73224043715847 1.92771084337349 0.842105263157895 0.584795321637427 1.00401606425703 0
"realdonaldtrump" 0.845665961945032 0.988142292490119 0.58252427184466 0.374531835205993 0.555555555555556 3.44827586206897 0 0 0 0 0.78740157480315 0 0 0 3.42465753424658 1.44927536231884 1.61290322580645 4.00728597449909 0 0 0.194931773879142 0 0
