Source,Target,Weight,Type
2015_2,2015_3,5,undirected
2015_2,2016_0,4,undirected
2015_2,2016_1,2,undirected
2015_3,2015_2,5,undirected
2015_3,2016_0,2,undirected
2015_3,2016_1,1,undirected
2016_0,2015_2,4,undirected
2016_0,2015_3,2,undirected
2016_0,2016_1,6,undirected
2016_0,2016_2,5,undirected
2016_0,2016_3,2,undirected
2016_1,2015_2,2,undirected
2016_1,2015_3,1,undirected
2016_1,2016_0,6,undirected
2016_1,2016_2,4,undirected
2016_1,2016_3,1,undirected
2016_2,2016_0,5,undirected
2016_2,2016_1,4,undirected
2016_2,2016_3,4,undirected
2016_3,2016_0,2,undirected
2016_3,2016_1,1,undirected
2016_3,2016_2,4,undirected
2017_0,2017_2,3,undirected
2017_0,2020_1,2,undirected
2017_0,2020_2,1,undirected
2017_1,2017_2,5,undirected
2017_1,2017_3,3,undirected
2017_1,2020_1,1,undirected
2017_2,2017_0,3,undirected
2017_2,2017_1,5,undirected
2017_2,2017_3,6,undirected
2017_2,2020_1,3,undirected
2017_2,2020_3,1,undirected
2017_3,2017_1,3,undirected
2017_3,2017_2,6,undirected
2017_3,2020_1,3,undirected
2018_0,2018_1,4,undirected
2018_0,2018_3,4,undirected
2018_0,2019_1,1,undirected
2018_0,2020_2,1,undirected
2018_1,2018_0,4,undirected
2018_1,2018_2,6,undirected
2018_1,2018_3,1,undirected
2018_1,2019_1,4,undirected
2018_2,2018_1,6,undirected
2018_2,2019_0,2,undirected
2018_2,2019_2,2,undirected
2018_3,2018_0,4,undirected
2018_3,2018_1,1,undirected
2018_3,2020_2,6,undirected
2019_0,2018_2,2,undirected
2019_0,2019_1,4,undirected
2019_0,2019_2,4,undirected
2019_1,2018_0,1,undirected
2019_1,2018_1,4,undirected
2019_1,2019_0,4,undirected
2019_1,2019_2,6,undirected
2019_1,2019_3,1,undirected
2019_2,2018_2,2,undirected
2019_2,2019_0,4,undirected
2019_2,2019_1,6,undirected
2019_2,2019_3,3,undirected
2019_2,2020_0,1,undirected
2019_3,2019_1,1,undirected
2019_3,2019_2,3,undirected
2019_3,2020_0,6,undirected
2019_3,2021_0,1,undirected
2020_0,2019_2,1,undirected
2020_0,2019_3,6,undirected
2020_0,2020_1,2,undirected
2020_0,2021_0,2,undirected
2020_1,2017_0,2,undirected
2020_1,2017_1,1,undirected
2020_1,2017_2,3,undirected
2020_1,2017_3,3,undirected
2020_1,2020_0,2,undirected
2020_1,2020_2,5,undirected
2020_1,2020_3,3,undirected
2020_1,2021_0,3,undirected
2020_2,2017_0,1,undirected
2020_2,2018_0,1,undirected
2020_2,2018_3,6,undirected
2020_2,2020_1,5,undirected
2020_2,2020_3,2,undirected
2020_3,2017_2,1,undirected
2020_3,2020_1,3,undirected
2020_3,2020_2,2,undirected
2021_0,2019_3,1,undirected
2021_0,2020_0,2,undirected
2021_0,2020_1,3,undirected
