"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"the" 2.71689657587004 3.04759434573985 2.92868118955075 3.08303385662947 3.28928046989721 2.89153782603564 4.34825771865383 4.86793793675234 4.3877236273905 4.39303056269637 4.90877497827976 4.64282430817321 4.74207656821041 4.53677344960542 5.17260517260517 5.17630551488531 5.18715827842423 5.23670261378176 5.07173643502391 4.42455529992705 4.05417037270823 3.66175915439789 4.83494797273053
"to" 2.03067012113998 1.8220723641551 1.91177799873452 1.62663135993947 2.00293685756241 2.00047208780833 2.49180978854363 2.8307473646808 2.73750771128933 2.81062553556127 2.70960034752389 2.68456375838926 2.40548798753819 2.3026197254153 2.37540237540238 2.75744265495364 2.49077059675686 2.34417839517456 2.55358091751786 2.38202121093092 2.30109316271196 2.19579715615956 2.26946537495515
"and" 1.2604159372593 1.45247049669304 1.29711651450782 1.62663135993947 1.95594713656388 1.49297769385106 2.1244912141368 2.01350230960559 2.10518198642813 2.29648671808055 2.92137271937446 2.78569458490393 2.78293691210832 2.85755468271414 2.44570244570245 2.3792093704246 2.28515351184635 2.26421129592396 2.01334356733778 2.40446664048033 2.67121912030528 2.4621450442515 2.0362396842483
"t" 2.5488411175688 1.88691479704318 2.53999819217211 2.56604249416809 2.80176211453744 3.8416145403045 1.26079618782885 1.94243752220775 1.79673041332511 1.84518708940303 1.43353605560382 1.19977935092397 1.01851297106225 1.52787286944615 0.81030081030081 1.1896046852123 1.16827889153699 1.60391153354049 1.8627856172876 1.93311261994276 1.71290850142025 2.56071473512017 1.91962683889487
"of" 1.25341362649674 1.1866165218519 1.31971436319262 1.24204022444991 1.43318649045521 1.19792281364334 1.80681028492008 1.76477555371314 1.81986428130783 2.06798057697801 2.20460469157255 1.99043854003861 1.95614402971661 2.18370509170841 2.18300218300218 1.92471937530503 1.97906444226366 1.75242186072016 1.63252051721084 1.80405140003367 1.63830947120764 1.61486514827398 2.06315034086832
"a" 1.77158462292557 1.91285177019842 1.69031908162343 1.6014122690877 1.4273127753304 1.32774696093473 1.66782487838777 1.58711358521852 1.41887723627391 1.46243930305627 1.78105994787142 1.73761147375195 1.92618776586184 1.7873229793521 1.94620194620195 1.70204978038067 1.77344735735315 1.82553463717785 1.78307846726103 1.76196621962853 1.74160043611741 1.74069879619143 1.64155005382131
"in" 1.25341362649674 1.51082868629231 1.52309500135587 1.55097408738415 1.48017621145374 1.62280184114245 1.57847711704557 1.45682814165581 1.46514497223936 1.49671522422165 1.56928757602085 1.31010388893996 1.31208435683902 1.56030413318439 1.41340141340141 1.49463152757443 1.42997336324127 1.33430817035277 1.44063293381354 1.32428034341507 1.59814076263162 1.35271171511262 1.72228202368138
"co" 2.19872557944122 1.72480871482298 2.4134502395372 2.42733749448332 2.72540381791483 3.72949368582556 1.2409411297528 1.90690512850882 1.7041949413942 1.70237075121394 1.06972198088619 0.772271766111979 0.530225870229465 1.17833591582285 0.381100381100381 0.722913616398243 0.736015701668302 1.05785048437214 1.29302710043101 1.48139835026093 1.25670673973546 2.11819973994379 1.3724434876211
"is" 1.22540438344654 1.20606925171832 1.21576425924252 1.27986886072757 1.38619676945668 1.02088988551871 1.32036136205698 1.38576335425797 1.17982726711906 1.2853470437018 1.18918331885317 1.34228187919463 1.6685638967108 1.54228676444092 1.4023014023014 1.27196193265007 1.46735828777046 1.51709011149698 1.50853161716951 1.31866898602772 1.38295125240295 1.2205863847993 1.18406889128095
"https" 0.931307331419368 1.05044741278693 2.32757841453494 2.26341340394679 2.5726872246696 3.46394429363862 1.22108607167676 1.90690512850882 1.68877236273905 1.69094544415881 1.05343179843614 0.767674910361313 0.530225870229465 1.17473244207416 0.373700373700374 0.719863347974622 0.733679143885228 1.05099616157924 1.29302710043101 1.48139835026093 1.25383754626574 2.11400528501321 1.3724434876211
